Secuencial,Fecha de Análisis,Departamento,Municipio,Cultivo,Estado,Tiempo de establecimiento,Topografia,Drenaje,Riego,Fertilizantes aplicados,pH agua:suelo,Materia organica,Fósforo Bray II,Azufre Fosfato monocalcico,Acidez Intercambiable,Aluminio intercambiable,Calcio intercambiable,Magnesio intercambiable,Potasio intercambiable,Sodio intercambiable,capacidad de intercambio cationico,Conductividad electrica,Hierro disponible olsen,Cobre disponible,Manganeso disponible Olsen,Zinc disponible Olsen,Boro disponible,Hierro disponible doble acido,Cobre disponible doble acido,Manganeso disponible doble acido,Zinc disponible doble  acido,_depto_norm,_cultivo_norm
156.0,19/08/2014,CESAR,AGUSTÍN CODAZZI,Algodón,Por establecer,No indica,Plano,Buen drenaje,No indica,NPK DAP KCL,7.45,1.079,121.3,5.736,,,11.6,0.585,0.259,0.054,12.5,0.381,23.9,4.3,1.4,1.4,0.284,,,,,CESAR,Algodón
180.0,5/09/2014,MAGDALENA,ZONA BANANERA,Aguacate,Establecido,De 1 a 5 años,Pendiente,Buen drenaje,No Tiene,Ninguno,6.08,1.272,5.657,3.056,,,6.888,1.007,0.15,0.032,8.079,0.214,45.09,2.5,3.7,0.5,0.164,,,,,MAGDALENA,
188.0,29/08/2014,CESAR,AGUSTÍN CODAZZI,Gmelina Arborea,No indica,No indica,No indica,No indica,No indica,No indica,5.74,0.726,20.86,3.79,,,5.653,0.976,0.153,0.179,6.963,0.138,148.0,4.2,5.6,4.099,0.064,,,,,CESAR,
189.0,29/08/2014,CESAR,AGUSTÍN CODAZZI,Ceiba,No indica,No indica,No indica,No indica,No indica,No indica,6.38,1.603,4.421,4.097,,,10.89,4.811,0.316,0.282,16.3,0.204,67.69,3.3,2.9,1.7,0.119,,,,,CESAR,
190.0,29/08/2014,CESAR,AGUSTÍN CODAZZI,Teca,No indica,No indica,No indica,No indica,No indica,No indica,5.77,1.972,1.723,2.252,,,7.45,2.528,0.188,0.217,10.38,0.189,94.9,2.8,4.6,1.799,0.101,,,,,CESAR,
191.0,29/08/2014,CESAR,AGUSTÍN CODAZZI,Eucalipto,No indica,No indica,No indica,No indica,No indica,No indica,5.15,2.387,4.404,4.097,0.222,0.09,6.252,2.097,0.486,0.152,9.211,0.154,263.0,4.099,21.5,2.5,0.119,,,,,CESAR,
192.0,29/08/2014,CESAR,AGUSTÍN CODAZZI,Eucalipto,No indica,No indica,No indica,No indica,No indica,No indica,5.22,0.772,31.68,1.33,0.131,0.09,1.634,0.812,0.361,0.038,2.978,0.068,26.0,2.1,7.7,0.8,0.064,,,,,CESAR,
193.0,5/09/2014,MAGDALENA,ZONA BANANERA,Aguacate,Establecido,De 1 a 5 años,Pendiente,Buen drenaje,No Tiene,Ninguno,6.22,2.389,23.18,3.596,,,4.118,0.956,0.281,0.021,5.377,0.191,73.6,3.0,4.3,0.899,0.205,,,,,MAGDALENA,
194.0,29/08/2014,CESAR,AGUSTÍN CODAZZI,Teca,No indica,No indica,No indica,No indica,No indica,No indica,5.74,0.957,219.0,1.791,,,3.743,0.925,0.105,0.054,4.829,0.121,206.0,4.699,2.0,3.3,0.082,,,,,CESAR,
204.0,5/09/2014,MAGDALENA,ZONA BANANERA,Aguacate,Establecido,Mas de 10 años,Pendiente,Buen drenaje,No Tiene,Ninguno,6.69,2.482,13.52,3.957,,,4.829,1.038,0.3,0.016,6.185,0.297,26.29,2.7,4.8,1.3,0.246,,,,,MAGDALENA,
205.0,5/09/2014,MAGDALENA,ZONA BANANERA,Aguacate,Establecido,De 5 a 10 años,Pendiente,Buen drenaje,No Tiene,Ninguno,6.91,2.389,64.25,2.695,,,7.113,1.583,0.262,0.01,8.969,0.409,22.5,3.599,3.3,2.2,0.348,,,,,MAGDALENA,
206.0,5/09/2014,MAGDALENA,ZONA BANANERA,Aguacate,Establecido,Mas de 10 años,Plano,Buen drenaje,No Tiene,Ninguno,5.71,1.644,15.17,2.695,,,2.907,0.997,0.166,0.027,4.098,0.148,37.29,2.9,7.9,2.0,0.164,,,,,MAGDALENA,
207.0,5/09/2014,MAGDALENA,ZONA BANANERA,Aguacate,Establecido,Mas de 10 años,Pendiente,Buen drenaje,No Tiene,Ninguno,6.03,2.807,23.31,3.416,,,5.204,0.822,0.339,0.038,6.403,0.186,75.4,1.799,4.099,1.7,0.164,,,,,MAGDALENA,
208.0,5/09/2014,CÓRDOBA,CERETÉ,Pachira Quinata,Establecido,De 5 a 10 años,Plano,Buen drenaje,No Tiene,No indica,6.13,2.9,9.559,36.9,,,7.188,5.674,0.31,0.179,13.35,0.525,91.19,6.4,2.6,0.899,0.328,,,,,CORDOBA,
209.0,5/09/2014,CÓRDOBA,CERETÉ,Yuca,Por establecer,No indica,Plano,Regular drenaje,No Tiene,No indica,6.19,0.9,1.692,4.137,,,6.065,5.797,0.14,0.097,12.1,0.085,14.39,3.3,2.4,0.5,0.184,,,,,CORDOBA,Yuca
210.0,5/09/2014,CÓRDOBA,CERETÉ,Pachira Quinata,Establecido,De 5 a 10 años,Plano,Buen drenaje,No Tiene,No indica,6.55,2.668,39.1,42.3,,,8.611,6.723,0.463,0.277,16.07,0.787,56.9,6.4,1.5,0.8,0.451,,,,,CORDOBA,
211.0,5/09/2014,CÓRDOBA,CERETÉ,Pachira Quinata,Establecido,De 5 a 10 años,Plano,Buen drenaje,No Tiene,No indica,6.57,2.482,13.86,17.1,,,6.814,5.921,0.358,0.163,13.25,0.383,81.19,6.1,1.9,0.7,0.348,,,,,CORDOBA,
212.0,5/09/2014,BOLÍVAR,EL CARMEN DE BOLÍVAR,Yuca,Por establecer,No indica,Plano,Regular drenaje,No Tiene,No indica,6.86,2.761,42.32,4.857,,,19.08,4.41,0.985,0.114,24.59,0.323,8.299,3.2,0.8,0.8,0.492,,,,,BOLIVAR,Yuca
213.0,5/09/2014,CÓRDOBA,CERETÉ,Yuca,Por establecer,No indica,Ondulado,Regular drenaje,No Tiene,No indica,7.11,1.877,10.83,13.68,,,13.85,9.868,0.281,0.478,24.48,0.409,10.3,4.0,0.6,0.3,0.307,,,,,CORDOBA,Yuca
214.0,5/09/2014,CÓRDOBA,CERETÉ,Pachira Quinata,Establecido,De 5 a 10 años,Plano,Buen drenaje,No Tiene,No indica,6.01,2.202,14.28,87.34,,,8.199,7.586,0.425,0.451,16.66,1.828,80.3,7.199,2.3,0.8,0.389,,,,,CORDOBA,
216.0,5/09/2014,CÓRDOBA,CERETÉ,Pachira Quinata,Establecido,De 5 a 10 años,Plano,Buen drenaje,No Tiene,No indica,6.13,2.621,11.3,15.3,,,7.675,5.427,0.345,0.119,13.56,0.388,103.8,5.899,2.5,1.2,0.348,,,,,CORDOBA,
